ThemeId,Name,IsActual,CreatedUTC,UpdatedUTC
d575dd0b-933c-4483-8d85-706e17cce6af,Работа с файлами и каталогами,true,2023-12-10 13:16:50.349658 +00:00,2023-12-10 13:16:50.349658 +00:00
7755aa19-8b0b-436f-98d0-c0a2c25d34c1,Пользователи и права пользователей,true,2023-12-10 13:17:03.000270 +00:00,2023-12-10 13:17:03.000270 +00:00
b1877d5c-2ea9-4183-88ce-33c18c4213fa,Работа с терминалом,true,2023-12-10 13:17:12.367771 +00:00,2023-12-10 13:17:12.367771 +00:00
1134e76d-8165-4f00-bd7d-fd7a55a324b9,Работа с ОС,true,2023-12-10 13:17:24.415384 +00:00,2023-12-10 13:17:24.415384 +00:00
6e449317-414b-4f9c-bf55-31dc978e3bbd,Работа с процессами,true,2023-12-10 13:17:38.580545 +00:00,2023-12-10 13:17:38.580545 +00:00
e2d7a6bf-421c-45a9-94f8-992f80bc55f1,Работа с файловой системой,true,2023-12-10 13:17:49.681086 +00:00,2023-12-10 13:17:49.681086 +00:00
c2b934f6-c72e-415b-844f-32ee5ab8d7af,Работа с сетью,true,2023-12-10 13:17:58.169166 +00:00,2023-12-10 13:17:58.169166 +00:00
1d5369e1-32e4-46c3-98cc-f3e2addb0e6c,Загрузка файлов,true,2023-12-10 13:18:08.236612 +00:00,2023-12-10 13:18:08.236612 +00:00
